Name,Prem City,Prem State,Map color,Alt Telephone,Aphis Livestock Market Id,Contact,Mail City,Mail State,Mail Zip,Mailing Address,Name,Prem Address,Prem City,Prem State,Primary Telephone,Latitude (generated),Longitude (generated)
Lynch Livestock-Lewisville,Lewisville,MN,Services Offered,,MN137,Mike Thate,Lewisville,MN,56060,81517 390th Street,Lynch Livestock-Lewisville,81517 390th Street,Lewisville,MN,507-435-4033,43.9233,-94.4375
Lynch Livestock Pork Marketing,Kingsville,MO,Services Offered,,MO406,Bret Everett,Kingsville,MO,64061,P.O. Box 74,Lynch Livestock Pork Marketing,1631 Hwy 58 E.,Kingsville,MO,816-597-3259,38.7431,-94.0699
Lynch Livestock Inc.,Brewster,MN,Services Offered,507-376-5222,MN115,Matt Schlichte,Brewster,MN,56119,22904 Sundberg Avenue,Lynch Livestock Inc.,22904 Sundberg Avenue,Brewster,MN,507-376-5222,43.6986,-95.4686
Lynch Livestock Inc.,Austin,MN,Services Offered,563-442-0969,MN142,Shane Tieskoetter,Austin,MN,55912,51420 State Hy 251,Lynch Livestock Inc.,51420 State Hwy 251,Austin,MN,507-481-8277,43.6681,-92.9745
Lynch Livestock Inc.,Williamsburg,IA,Services Offered,,IA459,Seth Meyer,Williamsburg,IA,52361,2648 240th Street,Lynch Livestock Inc.,2648 240th Street,Williamsburg,IA,563-387-7635,41.6611,-92.0091
Lynch Livestock Inc,Alexandria,SD,Services Offered,,SD1020,Nicole Frutiger,Alexandria,SD,57311,1130 Spruce Street,Lynch Livestock Inc,1130 Spruce Street,Alexandria,SD,(319)284-0047,43.6536,-97.7828
Lynch Livestock - Willow Lake,Willow Lake,SD,Services Offered,,SD120,Jim Caulfield,Willow Lake,SD,57278,425 Jackson Street,Lynch Livestock - Willow Lake,425 Jackson Street,Willow Lake,SD,,44.6275,-97.637
Lynch Livestock - Nashville,Nashville,IL,Services Offered,,IL291,Mark Glasco,Nashville,IL,62263,628 State Road 127,Lynch Livestock - Nashville,628 State Road 127,Nashville,IL,,38.3435,-89.381
Lynch Livestock - Monmouth,Monmouth,IL,Services Offered,,IL1001,Harmony  Roberts,Monmouth,,61462,2190 US Highway 67,Lynch Livestock - Monmouth,2190 US Highway 67,Monmouth,IL,(563)380-0859,40.9114,-90.6474
Lynch Livestock - Mapleton,Mapleton,MN,Services Offered,,MN118,Dale Grunzke,Mapleton,MN,56065,310 North Central Avenue,Lynch Livestock - Mapleton,310 North Central Avenue,Mapleton,MN,507-524-4552,43.9289,-93.9561
Lynch Livestock - Griggsville,Griggsville,IL,Services Offered,,IL242,Richard W. Myers,Griggsville,IL,62340,31539 State Hwy 107,Lynch Livestock - Griggsville,31539 State Hwy 107,Griggsville,IL,217-833-2326,39.7089,-90.7246
Lynch Livestock - Crete,Crete,NE,Services Offered,,NE206,John McKeever,Crete,NE,68333,896 County Road 2250,Lynch Livestock - Crete,896 County Road 2250,Crete,NE,402-228-6695,40.6278,-96.9614
Lynch Livestock - Charleston,Charleston,IL,Services Offered,,IL047,Willam Bradford,Charleston,IL,61920,3412 State Highway 130,Lynch Livestock - Charleston,3412 State Highway 130,Charleston,IL,217-345-6199,39.4961,-88.1762
Lynch Livestock - Butler,Butler,MO,Services Offered,,MO539,Bret Everett,Butler,MO,64730,5A Sale Barn Road,Lynch Livestock - Butler,5A Sale Barn Road,Butler,MO,660-679-4294,38.2586,-94.3305
Lynch Livestock,Aberdeen,SD,Services Offered,605-229-1668,SD001,Troy Truebencach,Aberdeen,SD,57401,38474 133rd Street,Lynch Livestock,38474 133rd St.,Aberdeen,SD,605-229-1668,45.465,-98.4878
Lynch Livestock,State Cener,IA,Services Offered,,IA442,Phil Schilling,State Center,IA,50247,2386 Gerhart Avenue,Lynch Livestock,2386 Gerhart Avenue,State Cener,IA,641-483-4289,,
Lynch Livestock,Sibley,IA,Services Offered,712-754-2547,IA168,,Sibley,IA,51249,109 5th Street,Lynch Livestock,109 5th Street,Sibley,IA,712-754-2547,43.3991,-95.752
Lynch Livestock,Primghar,IA,Services Offered,,IA306,Tim L. Fransen,Primghar,IA,51245,775 Rerick Avenue,Lynch Livestock,775 Rerick Avenue,Primghar,IA,712-757-2182,43.0869,-95.6272
Lynch Livestock,Pomeroy,IA,Services Offered,,IA327,Roger Holtorf,Pomeroy,IA,50575,1888 Knoke Road,Lynch Livestock,1888 Knoke Road,Pomeroy,IA,712-468-2291,42.5511,-94.6839
Lynch Livestock,Ossian,IA,Services Offered,,IA312,Brandon Block,Ossian,IA,52161,600 West Broadway Ave,Lynch Livestock,600 West Broadway Ave,Ossian,IA,563-532-9482,43.1464,-91.7646
Lynch Livestock,Le Mars,IA,Services Offered,712-546-7371,IA107,David Weidauer,Le Mars,IA,51301,16694 Highway 60,Lynch Livestock,16694 Highway 60,Le Mars,IA,712-546-7371,42.7942,-96.1655
Lynch Livestock,Hampton,IA,Services Offered,515-456-2548,IA086,Doug Bradley,Hampton,IA,50441,1308 Olive Ave.,Lynch Livestock,1308 Olive Avenue,Hampton,IA,641-579-6207,42.742,-93.2023
Lynch Livestock,Cresco,IA,Services Offered,,IA1006,Steve Hauber,Cresco,IA,52136,P. O. Box,Lynch Livestock,22499 State Highway 9,Cresco,IA,(563)379-1907,43.3814,-92.1141
Lynch Livestock,Bernard,IA,Services Offered,319-879-3499,IA020,Leroy J. Pawlenty Jr.,Bernard,IA,52032,3461 Bernard Road,Lynch Livestock,3461 Bernard Road,Bernard,IA,563-879-3499,42.3122,-90.8318
Lynch Hog Buying Station - Beatrice,Beatrice,NE,Services Offered,,NE217,Dennis Henrichs,Beatrice,NE,69138,P.O. Box 543,Lynch Hog Buying Station - Beatrice,3320 North 6th,Beatrice,NE,402-223-3571,40.266,-96.7469
Loy's Sale Barn,Portland,IN,Services Offered,,IN195,John Michael Loy,Portland,IN,46974,"Route 3, Box 228",Loy's Sale Barn,120 N-800 E,Portland,IN,260-726-2639,40.4345,-84.9777
Loy Brothers Cattle dba Lake Cumberland Livestock Market,Somerset,KY,Services Offered,606-679-4664,KY100,Darrell Loy,Somerset,KY,42503,95 Bodie Road,Loy Brothers Cattle dba Lake Cumberland Livestock Market,95 Bodie Road,Somerset,KY,606-679-4664,37.092,-84.6041
"Lowell Livestock Auction, Inc.",Lowell,IN,Services Offered,,IN159,Rick Niemeyer,Lowell,IN,46356,P.O. Box 5,"Lowell Livestock Auction, Inc.",11003 West 181st Avenue,Lowell,IN,219-696-9313,41.2564,-87.4534
Lowcountry Livestock Exchange,Darlington,SC,Services Offered,,SC072,Donnie Poplin,Darlington,SC,29532,1989 Harry Byrd Highway,Lowcountry Livestock Exchange,1989 Harry Byrd Highway,Darlington,SC,,34.2999,-79.8762
Loogootee & Jasper Stockyard,Loogootee,IN,Services Offered,,*,Dwain Cary,Loogootee,IN,47553,*,Loogootee & Jasper Stockyard,*,Loogootee,IN,*,38.677,-86.9142
Longhorn Auction Co & Livestock Sales,Mountain City,TN,Services Offered,,TN139,Michael W. Duffield,Mountain City,TN,37683,180 Roane's Creek Rd,Longhorn Auction Co & Livestock Sales,180 Roane's Creek Rd,Mountain City,TN,423-291-9093,36.4746,-81.8048
Long Prairie Livestock Auction,Long Prairie,MN,Services Offered,,MN122,Fred Frieler,Long Prairie,MN,56347,43 Riverside Drive,Long Prairie Livestock Auction,43 Riverside Drive,Long Prairie,MN,320-732-2255,45.9741,-94.8653
Lonestar Stockyards,Wildorado,TX,Services Offered,,TX129,Bill Martin,Amarillo,TX,79159,P.O. Box 51844,Lonestar Stockyards,2101 Adkisson Road,Wildorado,TX,806-677-0777,35.2095,-102.2014
Loma Livestock LLC,Loma,CO,Services Offered,,CO065,George Raftopoulos,Loma,CO,81524,1369 12 1/2 Road,Loma Livestock LLC,1369 12 1/2 Road,Loma,CO,970-858-0090,39.1958,-108.8132
Lolli Livestock Market Inc.,Macon,MO,Services Offered,,MO1009,Frankie Lolli,Macon,MO,63552,704 Main Street,Lolli Livestock Market Inc.,704 Main Street,Macon,MO,(660)385-2516,39.7423,-92.4727
Lockwood Sale Barn (dba SOUTHWEST LIVESTOCK SALES),Lockwood,MO,Services Offered,,MO1051,Lesa W. King,Aurora,,65605,1959 Roundhouse Road,Lockwood Sale Barn (dba SOUTHWEST LIVESTOCK SALES),504 Pine Street,Lockwood,MO,(417)209-8406,37.3856,-93.9533
"LL Park Operations, LLC",Sweet Springs,MO,Services Offered,,MO1086,Rebekah Wood,Sweet Springs,MO,65351,12362 Harmony Ave,"LL Park Operations, LLC",12362 Harmony Ave,Sweet Springs,MO,,38.9636,-93.4149
Livingston Stockyard,Livingston,AL,Services Offered,,AL048,Ken Tinsley,Livingston,AL,35470,115 Buckroe Place,Livingston Stockyard,115 Buckroe Place,Livingston,AL,205-652-7441,32.5843,-88.1872
"Livingston Livestock Exchange, Inc.",Livingston,TX,Services Offered,,TX128,Rex Clamon,Livingston,TX,77351,100 Fair Street,"Livingston Livestock Exchange, Inc.",100 Fair Street,Livingston,TX,936-327-4917,30.711,-94.933
Livingston Co. Livestock Inc.,Ledbetter,KY,Services Offered,,KY141,Nick Smith,Ledbetter,KY,42058,P.O. Box 297,Livingston Co. Livestock Inc.,1636 U.S. Highway 60 West,Ledbetter,KY,270-898-8377,37.0476,-88.477
"Livestock-R-us, LLC; dba - Huron Continental Marketing",Huron,SD,Services Offered,,SD1018,Kim and Jackie Ulmer,Huron,SD,57350,P.O. Box 1337,"Livestock-R-us, LLC; dba - Huron Continental Marketing",39763 U.S. Highway 14 W,Huron,SD,(605)352-8682,44.3631,-98.2144
Livestock Yards Company dba St. Onge Livestock,St. Onge,SD,Services Offered,,SD1011,"Justin Tupper, General Manager",St. Ongs,SD,57779,P.O. Box 290,Livestock Yards Company dba St. Onge Livestock,11693 Salebarn Road,St. Onge,SD,(605)642-2200,44.5467,-103.721
Livestock Yard Co dba St. Onge Livestock,Newell,SD,Services Offered,,SD1010,"Justin Tupper, General Manager",St. Onge,SD,57779,P.O. Box 290,Livestock Yard Co dba St. Onge Livestock,205 Dartmouth,Newell,SD,(605)456-2348,44.7147,-103.4207
Livestock Producers Association - Tylertown,Tylertown,MS,Services Offered,,MS051,Jeff Burks,Tylertown,MS,39667,P.O. Box 20,Livestock Producers Association - Tylertown,284 Highway 98 East,Tylertown,MS,601-876-3465,31.116,-90.142
Livestock Exchange LLC,Brush,CO,Services Offered,,CO1005,Robin L Varelman,Brush,,80723,PO Box 506,Livestock Exchange LLC,28601 U.S. Hgihway 34/ PO Box 506,Brush,CO,(970)380-3798,40.2585,-103.6235
Livestock Co-op Auction Market - Hackettstown,Hackettstown,NJ,Services Offered,,NJ012,Michael Toretta,Hackettstown,NJ,07840,225 W. Stinger Street,Livestock Co-op Auction Market - Hackettstown,225 W. Stinger Street,Hackettstown,NJ,908-892-6063,40.854,-74.8291
"Lipscomb Bros. Livestock Market, Inc.",Como,MS,Services Offered,,MS009,Robert H. Lipscomb,Como,MS,38619,208 Highway 51 South,"Lipscomb Bros. Livestock Market, Inc.",208 Highway 51 South,Como,MS,662-526-5362,34.5107,-89.9398
Lincoln County Livestock Commission Co Inc,Brookhaven,MS,Services Offered,,MS1006,Michael Smith,Brookhaven,MS,39601,2230 Jackson Liberty Dr.,Lincoln County Livestock Commission Co Inc,2230 Jackson Liberty Dr.,Brookhaven,MS,(601)833-2654,31.5791,-90.4407
Linch Livestock LLC. DBA Belle Fourche Livestock Market,Belle Fourche,SD,Services Offered,,SD1022,Travis Linch,Belle Fourche,SD,57717,PO Box 126,Linch Livestock LLC. DBA Belle Fourche Livestock Market,18662 Livestock Barn Rd,Belle Fourche,SD,(605)892-2655,44.6709,-103.8514
Lexington Livestock Market LLC,Lexington,NE,Services Offered,,NE202,Rick Shoemaker,Lexington,NE,68850,300 Plum Creek Parkway,Lexington Livestock Market LLC,300 Plum Creek Pkwy,Lexington,NE,308-324-4663,40.7808,-99.7415
Lewiston Sales Inc.,Lewiston,MN,Services Offered,,MN1011,Zachary Vick,Lewiston,MN,55952,21241 Dutchman's Crossing Rd,Lewiston Sales Inc.,21241 Dutchman's Crossing Rd,Lewiston,MN,,43.9847,-91.8696
Lewiston Livestock Market,Lewiston,ID,Services Offered,,ID1002,John Pearson,Lewiston,,83501,3620 E. Main,Lewiston Livestock Market,3620 E. Main,Lewiston,ID,(208)743-5506,46.4166,-117.0177
Lewisburg Livestock Market,Lewisburg,TN,Services Offered,,TN1008,Jackson Bailey,Lewisburg,TN,37901,1930 Finley Beech Rd,Lewisburg Livestock Market,1930 Finley Beech Rd,Lewisburg,TN,(931)422-5530,35.4492,-86.7889
Leupold's Livestock Auction,Linwood,KS,Services Offered,,KS1040,Nikki Henderson,St. Joesph,MO,64504,5123 Lake Ave,Leupold's Livestock Auction,18258 Linwood Road,Linwood,KS,(816)752-0735,39.0014,-95.0391
Lemmon Livestock Auction LLC.,Lemmon,SD,Services Offered,,SD1013,Rowdy Benson,Lemmon,SD,57635,900 10th Street West,Lemmon Livestock Auction LLC.,900 10th Street West,Lemmon,SD,(605)374-3877,45.9408,-102.1593
Lekey Livestock LLC,Billings,MO,Services Offered,,MO1081,Kelly Emerson,Billings,MO,65610,11813 State Highway M,Lekey Livestock LLC,11813 State Highway M,Billings,MO,(417)840-1957,37.0676,-93.5521
Legacy Livestock Auction LLC,Thurmont,MD,Services Offered,,MD1002,Zac Virtz,Thurmont,,21788,137 Emmitsburg Road,Legacy Livestock Auction LLC,137 Emmitsburg Road,Thurmont,MD,(240)440-4841,39.6237,-77.4108
Leflore County Livestock Auction,Wister,OK,Services Offered,,OK1005,Rocky Crane,Wister,OK,,PO Box 818,Leflore County Livestock Auction,704 W. Highland Ave.,Wister,OK,(918)655-7462,34.9673,-94.7247
Leesport Farmers,Leesport,PA,Services Offered,,PA1006,Ben Weist,Leesport,PA,19533,P.O. 747,Leesport Farmers,312 Gernants Church Road,Leesport,PA,(610)926-1307,40.447,-75.9663
Lee Farmers Livestock Market,Jonesville,VA,Services Offered,,VA077,Wayne Markum,Jonesville,VA,24263,P.O. Box 971,Lee Farmers Livestock Market,32345 Wilderness Road,Jonesville,VA,276-346-1943,36.689,-83.111
Lee City Stockyard,Campton,KY,Services Offered,,KY157,Jeff Arnett,Campton,KY,41301,1388 KY 205 South,Lee City Stockyard,1388 KY 205 South,Campton,KY,606-662-4240,37.7343,-83.5474
Lebanon Valley Livestock Market,Lebanon,PA,Services Offered,,PA1005,Carol Brubaker,Fredericksburg,PA,17026,P.O. Box 38,Lebanon Valley Livestock Market,237 Freeport Road,Lebanon,PA,(717)865-2881,40.3465,-76.4284
Lebanon Auction Yard,Lebanon,OR,Services Offered,,OR017,Samuel C. Cowart,Lebanon,OR,97355,37087 KGAL Drive,Lebanon Auction Yard,37087 KGAL Dr.,Lebanon,OR,541-259-1251,44.5365,-122.907
Leach Livestock Auction,Kansas,OK,Services Offered,,OK164,Joe Simpson,Kansas,OK,74347,5930 US Hwy 412 Alt.,Leach Livestock Auction,5930 US Hwy 412 Alt.,Kansas,OK,918-868-2634,36.2051,-94.7977
"Laurens Livestock, LLC",Laurens,SC,Services Offered,,SC1005,Chris Powell,Laurens,,29360,2500 Hwy 49,"Laurens Livestock, LLC",2500 Hwy 49,Laurens,SC,(864)303-8654,34.499,-82.0143
Laurel Sales Company (HBS),Laurel,NE,Services Offered,,NE168,Cade Sohler,Laurel,NE,68873,P.O. Box 727,Laurel Sales Company (HBS),300 Pine Street,Laurel,NE,402 256-3817,42.4294,-97.0898
"Laurel Livestock Market, Inc.",London,KY,Services Offered,,KY054,Mike Williams,London,KY,40741,211 Railroad Street,"Laurel Livestock Market, Inc.",211 Railroad Street,London,KY,606-864-6522,37.129,-84.0833
Lapp’s Auction Services,Fort Plain,NY,Services Offered,,NY1024,Christian B Lapp.,Fort Plain,NY,13339,105 Marshville Rd.,Lapp’s Auction Services,105 Marshville Rd.,Fort Plain,NY,,42.9315,-74.6226
LaPlata Community Benefit Auction,La Plata,MO,Services Offered,,MO565,Amos Gingerich,La Plata,MO,63549,25302 Igloo Street,LaPlata Community Benefit Auction,25302 Igloo Street,La Plata,MO,,40.0234,-92.4916
Lanesboro Sales Commission,Lanesboro,MN,Services Offered,,MN1013,Joe Nelson,Lanesboro,MN,55949,402 Coffee Street,Lanesboro Sales Commission,402 Coffee Street,Lanesboro,MN,,43.7208,-91.9768
Landmark Mercantile,Mesquite,NM,Services Offered,,NM1002,Jason McClure,Mesquite,NM,88048,P.O. Box 10,Landmark Mercantile,12000 Stern Dr.,Mesquite,NM,(575)642-1354,32.1645,-106.6967
"Lamoni Livestock Auction, Inc.",Lamoni,IA,Services Offered,515-784-3323,IA104,Jason Allen,Lamoni,IA,50140,900 East Main Street,"Lamoni Livestock Auction, Inc.",900 East Main Street,Lamoni,IA,641-784-3323,40.6228,-93.9341
Lambert Livestock,Monticello,IA,Services Offered,,IA347,Stephen Lambert,Monticello,IA,52310,19426 Hwy 151 South,Lambert Livestock,19426 Highway 151 S,Monticello,IA,319-465-5456,42.2383,-91.1871
"Lake Region Livestock, Inc.",Devils Lake,ND,Services Offered,,ND1001,Chris Plummer,Devils Lake,ND,58301,PO Box 1198,"Lake Region Livestock, Inc.",8314 Highway 2 East,Devils Lake,ND,,48.1128,-98.8651
"LaCrosse Livestock, Inc.",La Crosse,KS,Services Offered,,KS1030,Chandra Wegener,LaCrosse,,67548,PO Box 657,"LaCrosse Livestock, Inc.",2340 Hwy 183,La Crosse,KS,(785)222-2586,38.5314,-99.3087
LaCrosse Livestock Market Inc.,La Crosse,KS,Services Offered,,KS180,Frank Seidel,La Crosse,KS,67548,P.O. Box 657,LaCrosse Livestock Market Inc.,North Highway 183,La Crosse,KS,785-222-2586,38.5314,-99.3087
La Junta Livestock Commission Inc.,La Junta,CO,Services Offered,,CO1007,Jace Honey,La Junta,,81050,P O Box 69,La Junta Livestock Commission Inc.,24026 Co Rd 30.25,La Junta,CO,(719)384-7781,37.985,-103.5438
"KY-TN Livestock Market, Inc.",Cross Plains,TN,Services Offered,,TN135,Mark Burnett,Cross Plains,TN,37220,4150 Fortland Road,"KY-TN Livestock Market, Inc.",4150 Fortland Road,Cross Plains,TN,,36.5487,-86.6961
"Kurtenbach Livestock, LLC",Lawler,IA,Services Offered,,IA464,Scott Kurtenbach,Lawler,IA,52154,3078 210th Street Box 226,"Kurtenbach Livestock, LLC",3078 210th Street,Lawler,IA,563-380-3032,43.0705,-92.1502
Kramer's Livestock Auction LLC,Colman,SD,Services Offered,,SD1019,Cindy Kramer,Colman,SD,57017,23460 467th Avenue,Kramer's Livestock Auction LLC,23460 467th Avenue,Colman,SD,(605)530-4973,43.9825,-96.8145
Koch Auction Barn Inc.,Milltown,IN,Services Offered,,IN316,Jason Koch,Milltown,IN,47145,1198 N. Milltown Road,Koch Auction Barn Inc.,1198 N. Milltown Road,Milltown,IN,,38.3423,-86.2761
Knoxville Regional Livestock Market,Knoxville,IA,Services Offered,,IA475,Ben I. Hale,Knoxville,IA,50138,1583 Highway 5 South,Knoxville Regional Livestock Market,1583 Highway 5 South,Knoxville,IA,,41.3208,-93.1094
Knoxville Livestock Auction Center,Mascot,TN,Services Offered,,TN1020,Kevin Wisecarver,Mascot,TN,37806,PO 167,Knoxville Livestock Auction Center,8706 Mascot rd,Mascot,TN,(865)933-1691,36.0637,-83.7429
Knightstown Livestock Auction,Knightstown,IN,Services Offered,765-533-4145,IN126,Joe Barkdull,Knightstown,IN,46148,6680 West Old National Rd,Knightstown Livestock Auction,6680 West Old National Rd,Knightstown,IN,765-345-5902,39.7956,-85.5264
Knight Cattle Co.,Gordonsville,VA,Services Offered,,VA076,John Michael Knight,Montpelier,VA,22957,P.O. Box 474,Knight Cattle Co.,14515 James Madison Highway,Gordonsville,VA,540-661-6907,38.1374,-78.1878
Klamath Livestock Auction,Klamath Falls,OR,Services Offered,,OR004,Patricia Goodell,Klamath Falls,OR,97603,1601 La Verne Ave,Klamath Livestock Auction,1601 La Verne Avenue,Klamath Falls,OR,541-884-9667,42.2249,-121.7817
Kist Livestock Auction Co.,Mandan,ND,Services Offered,,ND026,Fred Kist and Bill Kist,Mandan,ND,58554,1715 40th Ave SE,Kist Livestock Auction Co.,1715 40th Ave. SE,Mandan,ND,701-663-9573,46.8264,-100.8897
Kirksville Livestock LLC,Kirksville,MO,Services Offered,,MO1003,Charles E. Ambrosia,Kirksville,MO,63501,P.O. Box 242,Kirksville Livestock LLC,24295 Benton Road,Kirksville,MO,(660)665-9804,40.1948,-92.5832
Kirbyville Auction Barn,Kirbyville,TX,Services Offered,409-423-2612,TX028,Robert Muckleroy,Kirbyville,TX,75956,P.O. Drawer 400,Kirbyville Auction Barn,Highway 96 N,Kirbyville,TX,409-423-2612,30.6605,-93.8927
Kingsville Livestock,Kingsville,MO,Services Offered,,MO163,Rick Anstine,Kingsville,MO,64061,P.O. Box 127,Kingsville Livestock,1630 SW 58 Highway,Kingsville,MO,816-597-3331,38.7431,-94.0699
King's Back Room,West Winfield,NY,Services Offered,,NY080,Wayne King,West Winfield,NY,13491,689 Burrows Road,King's Back Room,689 Burrows Road,West Winfield,NY,315-822-5221,42.8853,-75.1932
Kinderman Livestock,Hillsboro,IN,Services Offered,765-798-5511,IN104,Fred Kinderman,Hillsboro,IN,47949,3185 E. U.S. Highway 136,Kinderman Livestock,3185 E. U.S. Highway 136,Hillsboro,IN,765-798-5511,40.108,-87.156
"Kinder Livestock Auction, Inc.",Kinder,LA,Services Offered,,LA035,Donnie Perkins,Kinder,LA,70648,13008 Hwy 190 West,"Kinder Livestock Auction, Inc.",13008 Highway 190 West,Kinder,LA,337-738-2778,30.4855,-92.8507
Kimball Livestock Exchange LLC,Kimball,SD,Services Offered,,SD1016,"Wade, Christina Christensen and Chad Heezen",Kimball,SD,57355,P.O. Box 20,Kimball Livestock Exchange LLC,301 N. Truck Street,Kimball,SD,(605)778-6211,43.7467,-98.9584
"Kewanee Sale Barn, Inc.",Kewanee,IL,Services Offered,409-856-8806,IL057,Pat Corquit,Kewanee,IL,61443,25836 N 800th Ave,"Kewanee Sale Barn, Inc.",25836 N 800th Ave,Kewanee,IL,309-856-8806,41.2456,-89.9248
Kevin Slemp Cattle,Dryden,VA,Services Offered,,VA075,Kevin Slemp,Dryden,VA,24243,520 Kevin Slemp Drive,Kevin Slemp Cattle,520 Kevin Slemp Drive,Dryden,VA,276-393-1531,36.7776,-82.9416
"Keosauqua Sales Co., Inc.",Keosauqua,IA,Services Offered,,IA096,Bill Goehing,Keosauqua,IA,52560,20555 Highway 1 North,"Keosauqua Sales Co., Inc.",20555 Highway 1 North,Keosauqua,IA,319-293-3508,40.7315,-91.9636
Keoco Auction Co. LLC,Sigourney,IA,Services Offered,641-660-8048,IA169,Justin Abell,Sigourney,IA,52591,306 S. Warren,Keoco Auction Co. LLC,306 S. Warren,Sigourney,IA,641-622-3535,41.3333,-92.2046
Kentucky-Tennessee Livestock Market Inc.,Guthrie,KY,Services Offered,,KY138,Kate Little,Guthrie,KY,42234,P.O. Box 245,Kentucky-Tennessee Livestock Market Inc.,9169 Russellville Road,Guthrie,KY,270-483-2504,36.6486,-87.1661
Kentuckiana Livestock Market,Owensboro,KY,Services Offered,,KY140,Danny Fulkerson,Owensboro,KY,42302,P.O. Box 774,Kentuckiana Livestock Market,8411 SR 81,Owensboro,KY,270-785-4121,37.7742,-87.1133
Kenkel Livestock,Elkador,IA,Services Offered,,IA416,Tom Kenkel,Elkador,IA,52043,424 High Street S.E.,Kenkel Livestock,424 High Street S.E.,Elkador,IA,,,
"Kalona Sales Barn, Inc.",Kalona,IA,Services Offered,,IA095,Devin Mullet,Kalona,IA,52247,121 9th Street,"Kalona Sales Barn, Inc.",121 9th Street,Kalona,IA,319-656-2222,41.4831,-91.706
K&H Horse Sales,Ratcliff,AR,Services Offered,,AR135,Kevin and Holly Shotzman,Charleston,AR,72933,4003 Rice Loop,K&H Horse Sales,1165 Hwy. 22,Ratcliff,AR,479-965-6690,35.3084,-93.8835
JR's Horse Auction,Hartville,MO,Services Offered,,MO1042,Levi Zook,Hartville,,65660,4875 Hwy BB,JR's Horse Auction,4875 Hwy BB,Hartville,MO,(417)741-2070,37.2509,-92.5104
Jordan Cattle Auction - San Saba,San Saba,TX,Services Offered,,TX132,Ken Jordan,San Saba,TX,76877,P.O. Box 158,Jordan Cattle Auction - San Saba,1310 W. Hwy 190,San Saba,TX,325-372-5159,31.1957,-98.7181
Jordan Cattle Auction - Mason,Mason,TX,Services Offered,,TX131,Ken Jordan,San Saba,TX,76877,P.O. Box 158,Jordan Cattle Auction - Mason,204 Gooch Street,Mason,TX,325-347-5250,30.705,-99.2233
"Joplin Regional Stockyards, Inc.",Carthage,MO,Services Offered,,MO456,Steve Owens,Carthage,MO,64836,P.O. Box 634,"Joplin Regional Stockyards, Inc.",10131 Cimarron Road,Carthage,MO,417-548-2333,37.1764,-94.3102
Joplin Regional Stockyards Incorporated,Carthage,MO,Services Offered,,MO1015,Dustin Eldridge,Carthage,MO,64836,PO Box 634,Joplin Regional Stockyards Incorporated,10131 Cimarron Road,Carthage,MO,(417)548-2333,37.1764,-94.3102
Jones Livestock Auction,Jones,OK,Services Offered,,OK104,Damon Coker,Jones,OK,73049,126 East Main Street,Jones Livestock Auction,126 East Main Street,Jones,OK,405-399-2999,35.5614,-97.292
Jon Dane Morris Sheep and Goat Buying Station,Balko,OK,Services Offered,,OK1014,Jon Dane Morris,Balko,OK,73931,22650 North Us 83 Hwy,Jon Dane Morris Sheep and Goat Buying Station,22650 North US 83 Hwy,Balko,OK,,36.63,-100.6849
Johnson Stockyard,Kosciusko,MS,Services Offered,,MS109,Dustin Johnson,Kosciusko,MS,39090,2434 Attala Road 3034,Johnson Stockyard,2434 Attala Road 3034,Kosciusko,MS,662-289-9727,33.0576,-89.5876
"Johnson Small Animal Auction, LLC",Alton,MO,Services Offered,,MO1068,Jennifer Rothwell and Jerry Johnson,Alton,,65606,277 Forest Road  3153,"Johnson Small Animal Auction, LLC",1059 State Highway AA,Alton,MO,(417)270-1013,36.6942,-91.3993
Johnson Co. Cattle Auction,Cleburne,TX,Services Offered,,TX115,"George Davis, Jr",Cleburne,TX,76033,P.O. Box 2573,Johnson Co. Cattle Auction,3119 N. Main,Cleburne,TX,817-556-9090,32.3476,-97.3867
Johnny Smith Livestock,Plumerville,AR,Services Offered,,AR1005,Johnny Smith,Plumerville,,72127,701 Caney Valley Dr.,Johnny Smith Livestock,701 Caney Valley Dr.,Plumerville,AR,(501)242-1468,35.1601,-92.6407
John Morrells Sioux Falls Buying Station,Sioux Falls,SD,Services Offered,605-330-3152,SD096,Carl E. Treizer,Sioux Falls,SD,57103,1400 N. Weber,John Morrells Sioux Falls Buying Station,1400 N. Weber,Sioux Falls,SD,605-330-3152,43.55,-96.7003
John Morrell & Company Buying Station,Fergus Falls,MN,Services Offered,,MN131,Wade Lee,Fergus Falls,MN,56537,16720 County Highway 116,John Morrell & Company Buying Station,16720 County Highway 116,Fergus Falls,MN,218-736-5464,46.283,-96.0776
John Morrell & Company,Watertown,SD,Services Offered,605-886-5052,SD077,Jerry Grotwald,Watertown,SD,57201,P.O. Box 476,John Morrell & Company,unk,Watertown,SD,605-886-5052,44.8992,-97.1153
John Morrell & Co,Thompson,IA,Services Offered,515-584-2774,IA186,Jeanine M. O'Rourke,Thompson,IA,50478,11991 Highway 9 East,John Morrell & Co,11991 Highway 9 East,Thompson,IA,515-584-2774,43.3713,-93.7736
Jersey Shore Livestock Market LLC,Jersey Shore,PA,Services Offered,,PA1025,Tyler Snook  Amber Snook,Middleburg,PA,17842,2397 RIchard Road,Jersey Shore Livestock Market LLC,1308 Rt 44,Jersey Shore,PA,(570)898-0111,41.202,-77.2644
